sp,support,woodiness,nfixing
Gnidia myrtifolia,F,NA,NA
Gnidia nana,F,NA,NA
Gnidia neglecta,F,NA,NA
Gnidia nitida,F,NA,NA
Gnidia nodiflora,F,NA,NA
Gnidia obtusissima,F,NA,NA
Gnidia occidentalis,F,NA,NA
Gnidia oppositifolia,F,NA,NA
Gnidia orbiculata,F,NA,NA
Gnidia parviflora,F,NA,NA
Gnidia parvula,F,NA,NA
Gnidia pedunculata,F,NA,NA
Gnidia penicillata,F,NA,NA
Gnidia perrieri,F,NA,NA
Gnidia phaeotricha,F,NA,NA
Gnidia pinifolia,F,W,NA
Gnidia polyantha,F,NA,NA
Gnidia polycephala,F,NA,NA
Gnidia propinqua,F,NA,NA
Gnidia pulchella,F,NA,NA
Gnidia racemosa,F,W,NA
Gnidia razakamalalana,F,NA,NA
Gnidia renniana,F,NA,NA
Gnidia robusta,F,NA,NA
Gnidia rubescens,F,NA,NA
Gnidia scabra,F,NA,NA
Gnidia scabrida,F,NA,NA
Gnidia sericea,F,NA,NA
Gnidia sericocephala,F,NA,NA
Gnidia setosa,F,W,NA
Gnidia similis,F,NA,NA
Gnidia singularis,F,NA,NA
Gnidia socotrana,F,NA,NA
Gnidia spicata,F,NA,NA
Gnidia splendens,F,NA,NA
Gnidia squarrosa,F,W,NA
Gnidia strigillosa,F,NA,NA
Gnidia styphelioides,F,NA,NA
Gnidia suavissima,F,NA,NA
Gnidia tenella,F,NA,NA
Gnidia thesioides,F,NA,NA
Gnidia tomentosa,F,NA,NA
Gnidia variabilis,F,NA,NA
Gnidia wickstroemiana,F,NA,NA
Gnidia wilmsii,F,NA,NA
Gnidia woodii,F,NA,NA
Gnomophalium pulvinatum,F,NA,NA
Gochnatia arequipensis,F,NA,NA
Gochnatia barrosii,F,NA,No
Gochnatia cordata,F,NA,NA
Gochnatia floribunda,F,W,No
Gochnatia haumaniana,F,NA,NA
Gochnatia patazina,F,NA,NA
Gochnatia polymorpha,F,W,NA
Gochnatia vargasii,F,NA,NA
Gochnatia vernonioides,F,NA,NA
Godmania aesculifolia,F,W,No
Goethalsia meiantha,F,W,NA
Goldbachia laevigata,F,H,NA
Goldbachia verrucosa,F,NA,NA
Gomesa adamantina,E,NA,NA
Gomesa albinoi,E,NA,NA
Gomesa alpina,E,NA,NA
Gomesa amicta,E,NA,NA
Gomesa barbaceniae,E,NA,NA
Gomesa barbata,E,NA,NA
Gomesa barkeri,E,NA,NA
Gomesa bicolor,E,NA,NA
Gomesa bifolia,E,NA,NA
Gomesa blanchetii,E,NA,NA
Gomesa bohnkiana,E,NA,NA
Gomesa brasiliensis,E,NA,NA
Gomesa brieniana,E,NA,NA
Gomesa caldensis,E,NA,NA
Gomesa calimaniana,E,NA,NA
Gomesa carlosregentii,F,NA,NA
Gomesa chapadensis,E,NA,NA
Gomesa chrysoptera,E,NA,NA
Gomesa chrysopterantha,E,NA,NA
Gomesa ciliata,E,NA,NA
Gomesa cogniauxiana,E,NA,NA
Gomesa colnagoi,E,NA,NA
Gomesa colorata,E,NA,NA
Gomesa concolor,E,NA,NA
Gomesa cornigera,E,NA,NA
Gomesa crispa,E,NA,NA
Gomesa croesus,E,NA,NA
Gomesa cruciata,E,NA,NA
Gomesa culuenensis,E,NA,NA
Gomesa cuneata,E,NA,NA
Gomesa damacenoi,E,NA,NA
Gomesa dasytyle,E,NA,NA
Gomesa discifera,E,NA,NA
Gomesa divaricata,E,NA,NA
Gomesa doeringii,E,NA,NA
Gomesa doniana,E,NA,NA
Gomesa duseniana,E,NA,NA
Gomesa echinata,E,NA,NA
Gomesa edmundoi,E,NA,NA
Gomesa eleutherosepala,E,NA,NA
Gomesa emiliana,E,NA,NA
Gomesa emilii,E,NA,NA
Gomesa fischeri,E,NA,NA
Gomesa flexuosa,E,NA,NA
Gomesa foliosa,E,NA,NA
Gomesa fuscans,E,NA,NA
Gomesa fuscopetala,E,NA,NA
Gomesa gardneri,E,NA,NA
Gomesa gilva,E,NA,NA
Gomesa glaziovii,E,NA,NA
Gomesa gomezoides,E,NA,NA
Gomesa gracilis,E,NA,NA
Gomesa gravesiana,E,NA,NA
Gomesa gutfreundiana,E,NA,NA
Gomesa handroi,E,NA,NA
Gomesa herzogii,E,NA,NA
Gomesa hookeri,E,NA,NA
Gomesa hydrophila,E,NA,NA
Gomesa imperatoris-maximiliani,E,NA,NA
Gomesa insignis,E,NA,NA
Gomesa isoptera,E,NA,NA
Gomesa itapetingensis,E,NA,NA
Gomesa jucunda,E,NA,NA
Gomesa kautskyi,E,NA,NA
Gomesa laxiflora,E,NA,NA
Gomesa leinigii,E,NA,NA
Gomesa lietzei,E,NA,NA
Gomesa lita,E,NA,NA
Gomesa loefgrenii,E,NA,NA
Gomesa longicornu,E,NA,NA
Gomesa longipes,E,NA,NA
Gomesa macronyx,E,NA,NA
Gomesa macropetala,E,NA,NA
Gomesa majevskyi,E,NA,NA
Gomesa marshalliana,E,NA,NA
Gomesa martiana,E,NA,NA
Gomesa messmeriana,E,NA,NA
Gomesa microphyta,E,NA,NA
Gomesa micropogon,E,NA,NA
Gomesa montana,E,NA,NA
Gomesa neoparanaensis,E,NA,NA
Gomesa nitida,E,NA,NA
Gomesa novaesae,E,NA,NA
Gomesa ouricanensis,E,NA,NA
Gomesa pabstii,E,NA,NA
Gomesa paranaensis,E,NA,NA
Gomesa paranapiacabensis,E,NA,NA
Gomesa paranensoides,E,NA,NA
Gomesa pardoglossa,E,NA,NA
Gomesa pectoralis,E,NA,NA
Gomesa petropolitana,E,NA,NA
Gomesa planifolia,E,H,NA
Gomesa praetexta,E,NA,NA
Gomesa pubes,E,NA,NA
Gomesa pulchella,E,NA,NA
Gomesa radicans,E,NA,NA
Gomesa ramosa,E,NA,NA
Gomesa ranifera,E,NA,NA
Gomesa recurva,F,NA,NA
Gomesa reducta,E,NA,NA
Gomesa reichertii,F,NA,NA
Gomesa riograndensis,E,NA,NA
Gomesa riviereana,E,NA,NA
Gomesa salesopolitana,E,NA,NA
Gomesa sarcodes,E,NA,NA
Gomesa scullyi,E,NA,NA
Gomesa sellowii,E,NA,NA
Gomesa sessilis,E,NA,NA
Gomesa silvana,E,NA,NA
Gomesa sincorana,F,NA,NA
Gomesa spiloptera,E,NA,NA
Gomesa terassaniana,E,NA,NA
Gomesa uhlii,E,NA,NA
Gomesa uniflora,E,NA,NA
Gomesa varicosa,E,NA,NA
Gomesa velteniana,E,NA,NA
Gomesa venusta,E,NA,NA
Gomesa viperina,E,NA,NA
Gomesa warmingii,E,NA,NA
Gomesa welteri,E,NA,NA
Gomesa widgrenii,E,NA,NA
Gomesa williamsii,E,NA,NA
Gomortega keule,F,W,NA
Gomphandra australiana,F,W,NA
Gomphandra coriacea,F,NA,NA
Gomphandra javanica,C,W,NA
Gomphandra luzoniensis,F,W,NA
Gomphandra mollis,F,NA,NA
Gomphandra pseudojavanica,C,W,NA
Gomphandra tetrandra,F,W,NA
Gomphia anceps,F,NA,NA
Gomphia serrata,F,W,NA
Gomphichis adnata,E,NA,NA
Gomphocarpus cancellatus,F,H,NA
Gomphocarpus filiformis,F,NA,NA
Gomphocarpus fruticosus,F,NA,NA
Gomphocarpus glaucophyllus,F,NA,NA
Gomphocarpus multiflorus,F,NA,NA
Gomphocarpus physocarpus,F,H,NA
Gomphocarpus rivularis,F,NA,NA
Gomphocarpus semiamplectens,F,NA,NA
Gomphocarpus tomentosus,F,NA,NA
Gomphogyne bonii,C,NA,NA
Gomphogyne cirromitrata,C,NA,NA
Gomphogyne cissiformis,C,NA,NA
Gomphogyne heterosperma,C,NA,NA
Gomphogyne nepalensis,C,NA,NA
Gomphogyne peekelii,C,NA,NA
Gompholobium ecostatum,F,NA,NA
Gompholobium foliolosum,F,W,NA
Gompholobium glabratum,F,W,NA
Gompholobium grandiflorum,F,W,Yes
Gompholobium huegelii,F,NA,Yes
Gompholobium inconspicuum,F,NA,NA
Gompholobium latifolium,F,W,Yes
Gompholobium minus,F,W,Yes
Gompholobium ovatum,F,NA,NA
Gompholobium pinnatum,F,NA,Yes
Gompholobium uncinatum,F,NA,NA
Gompholobium virgatum,F,NA,Yes
Gomphostemma keralensis,F,NA,NA
Gomphostigma incomptum,F,NA,NA
Gomphostigma virgatum,F,NA,NA
Gomphrena celosioides,F,H,NA
Gomphrena globosa,F,H,NA
Gomphrena haageana,F,H,NA
Gomphrena haenkeana,F,NA,NA
Gomphrena mandonii,F,NA,NA
Gonatopus angustus,F,H,NA
Gonatopus boivinii,F,H,NA
Gonatopus clavatus,F,NA,NA
Gonatopus marattioides,F,NA,NA
Gonatopus petiolulatus,F,NA,NA
Gonatostylis bougainvillei,F,NA,NA
Gonatostylis vieillardii,F,H,NA
Gongora aceras,E,NA,NA
Gongora alfieana,E,NA,NA
Gongora amparoana,E,H,NA
Gongora armeniaca,E,H,NA
Gongora aromatica,E,NA,NA
Gongora atropurpurea,E,NA,NA
Gongora beyrodtiana,E,NA,NA
Gongora boracayanensis,E,NA,NA
Gongora bufonia,E,NA,NA
Gongora cassidea,E,NA,NA
Gongora charontis,E,NA,NA
Gongora chocoensis,E,NA,NA
Gongora claviodora,E,NA,NA
Gongora colombiana,E,NA,NA
Gongora cruciformis,E,NA,NA
Gongora dressleri,E,NA,NA
Gongora ecornuta,E,NA,NA
Gongora erecta,E,NA,NA
Gongora escobariana,E,H,NA
Gongora flaveola,E,NA,NA
Gongora galeata,E,NA,NA
Gongora galeottiana,E,NA,NA
Gongora garayana,E,NA,NA
Gongora gibba,E,NA,NA
Gongora glicensteiniana,E,NA,NA
Gongora gratulabunda,E,H,NA
Gongora grossa,E,NA,NA
Gongora herrenhusana,E,NA,NA
Gongora hirtzii,E,NA,NA
Gongora histrionica,E,NA,NA
Gongora hookeri,E,NA,NA
Gongora horichiana,E,NA,NA
Gongora ilense,E,H,NA
Gongora ionodesme,E,NA,NA
Gongora irmgardiae,E,NA,NA
Gongora jauariensis,E,NA,NA
Gongora javieri,E,NA,NA
Gongora juruaensis,E,NA,NA
Gongora lagunae,E,NA,NA
Gongora latibasis,E,NA,NA
Gongora latisepala,E,NA,NA
Gongora leucochila,E,NA,NA
Gongora maculata,E,NA,NA
Gongora meneziana,E,NA,NA
Gongora minax,E,NA,NA
Gongora nigrita,E,NA,NA
Gongora nigropunctata,E,NA,NA
Gongora odoratissima,E,NA,NA
Gongora pardina,E,NA,NA
Gongora passiflorolens,E,NA,NA
Gongora pleiochroma,E,NA,NA
Gongora portentosa,E,H,NA
Gongora pseudoatropurpurea,E,NA,NA
Gongora quinquenervis,E,NA,NA
Gongora retrorsa,E,NA,NA
Gongora rosea,E,NA,NA
Gongora rubescens,E,NA,NA
Gongora rufescens,E,NA,NA
Gongora saccata,E,NA,NA
Gongora sanderiana,E,NA,NA
Gongora scaphephorus,E,NA,NA
Gongora seideliana,E,NA,NA
Gongora similis,E,NA,NA
Gongora sphaerica,E,H,NA
Gongora superflua,E,NA,NA
Gongora tracyana,E,NA,NA
Gongora tridentata,E,H,NA
Gongora truncata,E,NA,NA
Gongora unicolor,E,NA,NA
Gongora vitorinoana,E,NA,NA
Gongronema angolense,C,NA,NA
Gongronema latifolium,C,NA,NA
Gongronema multibracteolatum,C,NA,NA
Gongronema nepalense,C,NA,NA
Gongrostylus costaricensis,C,NA,NA
Goniolimon besserianum,F,NA,NA
Goniolimon callicomum,F,NA,NA
Goniolimon caucasicum,F,NA,NA
Goniolimon cuspidatum,F,NA,NA
Goniolimon dalmaticum,F,NA,NA
Goniolimon dshungaricum,F,NA,NA
Goniolimon elatum,F,NA,NA
Goniolimon eximium,F,NA,NA
Goniolimon glaberrimum,F,NA,NA
Goniolimon graminifolium,F,NA,NA
Goniolimon heldreichii,F,NA,NA
Goniolimon incanum,F,NA,NA
Goniolimon italicum,F,NA,NA
Goniolimon orthocladum,F,NA,NA
Goniolimon platypterum,F,NA,NA
Goniolimon rubellum,F,NA,NA
Goniolimon sartorii,F,NA,NA
Goniolimon sewerzowii,F,NA,NA
Goniolimon speciosum,F,H,NA
Goniolimon tataricum,F,NA,NA
Gonioma kamassi,F,W,NA
Gonioma malagasy,F,NA,NA
Goniothalamus amuyon,F,W,NA
Goniothalamus aruensis,F,NA,NA
Goniothalamus australis,F,NA,NA
Goniothalamus calvicarpus,F,NA,NA
Goniothalamus cheliensis,F,NA,NA
Goniothalamus donnaiensis,F,NA,NA
Goniothalamus gabriacianus,F,NA,NA
Goniothalamus gardneri,F,NA,NA
Goniothalamus giganteus,F,W,NA
Goniothalamus grandiflorus,F,NA,NA
Goniothalamus howii,F,NA,NA
Goniothalamus laoticus,F,W,NA
Goniothalamus leiocarpus,F,NA,NA
Goniothalamus macranthus,C,NA,NA
Goniothalamus malayanus,F,W,NA
Goniothalamus rhynchantherus,F,NA,NA
Goniothalamus thwaitesii,F,NA,NA
Goniothalamus yunnanensis,F,NA,NA
Gonocalyx concolor,C,NA,NA
Gonocalyx portoricensis,C,NA,NA
Gonocarpus acanthocarpus,F,NA,NA
Gonocarpus benthamii,F,NA,NA
Gonocarpus chinensis,F,NA,NA
Gonocarpus confertifolius,F,NA,NA
Gonocarpus cordiger,F,NA,NA
Gonocarpus diffusus,F,NA,NA
Gonocarpus effusus,F,NA,NA
Gonocarpus elatus,F,NA,NA
Gonocarpus ephemerus,F,NA,NA
Gonocarpus eremophilus,F,NA,NA
Gonocarpus ericifolius,F,NA,NA
Gonocarpus hexandrus,F,NA,NA
Gonocarpus hirtus,F,NA,NA
Gonocarpus hispidus,F,NA,NA
Gonocarpus humilis,F,NA,NA
Gonocarpus implexus,F,NA,NA
Gonocarpus intricatus,F,NA,NA
Gonocarpus leptothecus,F,NA,NA
Gonocarpus longifolius,F,NA,NA
Gonocarpus mezianus,F,NA,NA
Gonocarpus micranthus,F,H,NA
Gonocarpus montanus,F,NA,NA
Gonocarpus nodulosus,F,NA,NA
Gonocarpus oreophilus,F,W,NA
Gonocarpus paniculatus,F,NA,NA
Gonocarpus pithyoides,F,NA,NA
Gonocarpus pusillus,F,NA,NA
Gonocarpus pycnostachyus,F,NA,NA
Gonocarpus rudis,F,NA,NA
Gonocarpus salsoloides,F,NA,NA
Gonocarpus scordioides,F,NA,NA
Gonocarpus serpyllifolius,F,NA,NA
Gonocarpus simplex,F,NA,NA
Gonocarpus tetragynus,F,NA,NA
Gonocarpus teucrioides,F,H,NA
Gonocarpus trichostachyus,F,NA,NA
Gonocarpus urceolatus,F,NA,NA
Gonocaryum calleryanum,C,W,NA
Gonocaryum gracile,C,NA,NA
Gonocaryum litorale,C,NA,NA
Gonolobus albomarginatus,C,NA,NA
Gonolobus antioquensis,C,NA,NA
Gonolobus arizonicus,C,NA,NA
Gonolobus campii,C,NA,NA
Gonolobus dorothyanus,C,NA,NA
Gonolobus dutrae,C,NA,NA
Gonolobus fimbriatiflorus,C,NA,NA
Gonolobus gonoloboides,C,NA,NA
Gonolobus iyanolensis,C,NA,NA
Gonolobus marginatus,C,NA,NA
Gonolobus niger,C,NA,NA
Gonolobus ophioglossa,C,NA,NA
Gonolobus parviflorus,C,NA,NA
Gonolobus peruanus,C,NA,NA
Gonolobus rostratus,C,NA,NA
Gonolobus sagasteguii,C,NA,NA
Gonolobus saraguranus,C,NA,NA
Gonolobus stellatus,C,NA,NA
Gonolobus stephanotrichus,C,NA,NA
Gonostegia pentandra,F,NA,NA
Gontscharovia popovii,F,NA,NA
Gonystylus acuminatus,F,NA,NA
Gonystylus affinis,F,W,NA
Gonystylus areolatus,F,W,NA
Gonystylus bancanus,F,W,NA
Gonystylus brunnescens,F,W,NA
Gonystylus calophylloides,F,W,NA
Gonystylus confusus,F,W,NA
Gonystylus forbesii,F,W,NA
Gonystylus keithii,F,W,NA
Gonystylus macrophyllus,F,W,NA
Gonystylus maingayi,F,W,NA
Gonystylus punctatus,F,W,NA
Gonystylus velutinus,F,W,NA
Gonystylus xylocarpus,F,W,NA
Gonzalagunia cornifolia,F,NA,NA
Gonzalagunia hirsuta,F,NA,NA
Goodenia affinis,F,NA,NA
Goodenia albiflora,F,NA,NA
Goodenia amplexans,F,NA,NA
Goodenia anfracta,F,NA,NA
Goodenia angustifolia,F,H,NA
Goodenia arachnoidea,F,H,NA
Goodenia arenicola,F,NA,NA
Goodenia argillacea,F,NA,NA
Goodenia armitiana,F,H,NA
Goodenia armstrongiana,F,NA,NA
Goodenia arthrotricha,F,H,NA
Goodenia atriplexifolia,F,NA,NA
Goodenia azurea,F,H,NA
Goodenia bellidifolia,F,H,NA
Goodenia benthamiana,F,NA,NA
Goodenia berardiana,F,H,NA
Goodenia berringbinensis,F,H,NA
Goodenia bicolor,F,H,NA
Goodenia blackiana,F,NA,NA
Goodenia brachypoda,F,NA,NA
Goodenia brunnea,F,NA,NA
Goodenia byrnesii,F,NA,NA
Goodenia caerulea,F,H,NA
Goodenia calcarata,F,H,NA
Goodenia cambodiana,F,NA,NA
Goodenia campestris,F,NA,NA
Goodenia centralis,F,NA,NA
Goodenia chambersii,F,NA,NA
Goodenia chthonocephala,F,NA,NA
Goodenia cirrifica,F,H,NA
Goodenia claytoniacea,F,H,NA
Goodenia concinna,F,H,NA
Goodenia convexa,F,NA,NA
Goodenia coronopifolia,F,NA,NA
Goodenia corralina,F,NA,NA
Goodenia corynocarpa,F,H,NA
Goodenia crenata,F,NA,NA
Goodenia cusackiana,F,H,NA
Goodenia cycloptera,F,H,NA
Goodenia cylindrocarpa,F,NA,NA
Goodenia debilis,F,NA,NA
Goodenia decurrens,F,NA,NA
Goodenia decursiva,F,NA,NA
Goodenia delicata,F,NA,NA
Goodenia dimorpha,F,H,NA
Goodenia disperma,F,NA,NA
Goodenia drummondii,F,NA,NA
Goodenia durackiana,F,H,NA
Goodenia dyeri,F,H,NA
Goodenia eatoniana,F,H,NA
Goodenia elaiosoma,F,NA,NA
Goodenia elderi,F,NA,NA
Goodenia elongata,F,H,NA
Goodenia eremophila,F,H,NA
Goodenia expansa,F,NA,NA
Goodenia fascicularis,F,H,NA
Goodenia fasciculata,F,NA,NA
Goodenia faucium,F,NA,NA
Goodenia filiformis,F,H,NA
Goodenia fordiana,F,NA,NA
Goodenia forestii,F,NA,NA
Goodenia geniculata,F,NA,NA
Goodenia gibbosa,F,NA,NA
Goodenia glabra,F,NA,NA
Goodenia glandulosa,F,H,NA
Goodenia glareicola,F,H,NA
Goodenia glauca,F,H,NA
Goodenia gloeophylla,F,NA,NA
Goodenia glomerata,F,H,NA
Goodenia goodeniacea,F,NA,NA
Goodenia gracilis,F,H,NA
Goodenia grandiflora,F,NA,NA
Goodenia granitica,F,NA,NA
Goodenia gypsicola,F,NA,NA
Goodenia halophila,F,NA,NA
Goodenia hartiana,F,NA,NA
Goodenia hassallii,F,NA,NA
Goodenia havilandii,F,NA,NA
Goodenia heatheriana,F,NA,NA
Goodenia hederacea,F,H,NA
Goodenia helmsii,F,NA,NA
Goodenia heppleana,F,NA,NA
Goodenia heterochila,F,H,NA
Goodenia heteromera,F,NA,NA
Goodenia heterophylla,F,NA,NA
Goodenia heteroptera,F,H,NA
Goodenia hirsuta,F,NA,NA
Goodenia hispida,F,H,NA
Goodenia holtzeana,F,NA,NA
Goodenia humilis,F,H,NA
Goodenia incana,F,H,NA
Goodenia integerrima,F,NA,NA
Goodenia inundata,F,NA,NA
Goodenia iyouta,F,NA,NA
Goodenia janamba,F,H,NA
Goodenia jaurdiensis,F,NA,NA
Goodenia kakadu,F,NA,NA
Goodenia katabudjar,F,NA,NA
Goodenia kingiana,F,NA,NA
Goodenia konigsbergeri,F,NA,NA
Goodenia krauseana,F,NA,NA
Goodenia laevis,F,NA,NA
Goodenia lamprosperma,F,H,NA
Goodenia lanata,F,NA,NA
Goodenia lancifolia,F,NA,NA
Goodenia larupinta,F,NA,NA
Goodenia leiosperma,F,NA,NA
Goodenia leptoclada,F,H,NA
Goodenia lineata,F,H,NA
Goodenia lobata,F,NA,NA
Goodenia lunata,F,H,NA
Goodenia lyrata,F,NA,NA
Goodenia macbarronii,F,H,NA
Goodenia macmillanii,F,NA,NA
Goodenia macroplectra,F,H,NA
Goodenia maideniana,F,NA,NA
Goodenia malvina,F,NA,NA
Goodenia megasepala,F,NA,NA
Goodenia micrantha,F,NA,NA
Goodenia microptera,F,H,NA
Goodenia mimuloides,F,NA,NA
Goodenia minutiflora,F,H,NA
Goodenia modesta,F,H,NA
Goodenia mueckeana,F,H,NA
Goodenia muelleriana,F,H,NA
Goodenia neglecta,F,H,NA
Goodenia neogoodenia,F,NA,NA
Goodenia nigrescens,F,H,NA
Goodenia nocoleche,F,NA,NA
Goodenia nuda,F,H,NA
Goodenia occidentalis,F,NA,NA
Goodenia ochracea,F,NA,NA
Goodenia odonnellii,F,NA,NA
Goodenia ovata,F,W,No
Goodenia pallida,F,H,NA
Goodenia paludicola,F,H,NA
Goodenia paniculata,F,H,NA
Goodenia pascua,F,H,NA
Goodenia peacockiana,F,NA,NA
Goodenia pedicellata,F,NA,NA
Goodenia perryi,F,H,NA
Goodenia phillipsiae,F,H,NA
Goodenia pilosa,F,NA,NA
Goodenia pinifolia,F,NA,NA
Goodenia pinnatifida,F,H,NA
Goodenia porphyrea,F,NA,NA
Goodenia potamica,F,NA,NA
Goodenia prostrata,F,NA,NA
Goodenia psammophila,F,NA,NA
Goodenia pterygosperma,F,NA,NA
Goodenia pulchella,F,H,NA
Goodenia pumilio,F,NA,NA
Goodenia purpurascens,F,H,NA
Goodenia purpurea,F,H,NA
Goodenia pusilliflora,F,H,NA
Goodenia quadrifida,F,H,NA
Goodenia quadrilocularis,F,H,NA
Goodenia quasilibera,F,H,NA
Goodenia racemosa,F,NA,NA
Goodenia ramelii,F,H,NA
Goodenia redacta,F,NA,NA
Goodenia robusta,F,H,NA
Goodenia rostrivalvis,F,NA,NA
Goodenia rotundifolia,F,H,NA
Goodenia rupestris,F,NA,NA
Goodenia saccata,F,NA,NA
Goodenia salina,F,NA,NA
Goodenia salmoniana,F,H,NA
Goodenia scaevolina,F,NA,NA
Goodenia scapigera,F,H,NA
Goodenia schwerinensis,F,NA,NA
Goodenia sepalosa,F,NA,NA
Goodenia sericostachya,F,H,NA
Goodenia splendida,F,NA,NA
Goodenia stellata,F,NA,NA
Goodenia stelligera,F,H,NA
Goodenia stenophylla,F,NA,NA
Goodenia stephensonii,F,H,NA
Goodenia stirlingii,F,NA,NA
Goodenia stobbsiana,F,NA,NA
Goodenia strangfordii,F,H,NA
Goodenia subauriculata,F,NA,NA
Goodenia suffrutescens,F,NA,NA
Goodenia symonii,F,NA,NA
Goodenia tenuiloba,F,H,NA
Goodenia trichophylla,F,H,NA
Goodenia triodiophila,F,H,NA
Goodenia tripartita,F,NA,NA
Goodenia turleyae,F,NA,NA
Goodenia varia,F,NA,NA
Goodenia vernicosa,F,NA,NA
Goodenia vilmoriniae,F,H,NA
Goodenia virgata,F,H,NA
Goodenia viridula,F,NA,NA
Goodenia viscida,F,NA,NA
Goodenia viscidula,F,H,NA
Goodenia watsonii,F,NA,NA
Goodenia willisiana,F,H,NA
Goodenia wilunensis,F,NA,NA
Goodenia xanthosperma,F,NA,NA
Goodenia xanthotricha,F,NA,NA
Goodia lotifolia,F,W,Yes
Goodia medicaginea,F,NA,NA
Goodyera afzelii,F,NA,NA
Goodyera alveolata,F,NA,NA
Goodyera amoena,F,NA,NA
Goodyera angustifolia,F,NA,NA
Goodyera arisanensis,E,NA,NA
Goodyera augustini,F,NA,NA
Goodyera beccarii,F,NA,NA
Goodyera bifida,F,NA,NA
Goodyera biflora,F,NA,NA
Goodyera bomiensis,F,NA,NA
Goodyera boninensis,F,NA,NA
Goodyera brachystegia,F,NA,NA
Goodyera bracteata,F,NA,NA
Goodyera bradeorum,F,NA,NA
Goodyera clausa,F,NA,NA
Goodyera colorata,F,NA,NA
Goodyera condensata,F,NA,NA
Goodyera crocodiliceps,F,NA,NA
Goodyera daibuzanensis,F,NA,NA
Goodyera denticulata,F,NA,NA
Goodyera dolabripetala,F,NA,NA
Goodyera elmeri,F,NA,NA
Goodyera erosa,F,NA,NA
Goodyera erythrodoides,F,NA,NA
Goodyera fimbrilabia,F,NA,NA
Goodyera flaccida,E,NA,NA
Goodyera foliosa,F,NA,NA
Goodyera fumata,F,NA,NA
Goodyera fusca,F,NA,NA
Goodyera gemmata,F,NA,NA
Goodyera gibbsiae,F,NA,NA
Goodyera goudotii,F,NA,NA
Goodyera hachijoensis,F,NA,NA
Goodyera hemsleyana,F,NA,NA
Goodyera henryi,F,NA,NA
Goodyera hispida,F,NA,NA
Goodyera humicola,F,NA,NA
Goodyera inmeghema,F,NA,NA
Goodyera kwangtungensis,F,NA,NA
Goodyera lamprotaenia,F,NA,NA
Goodyera lanceolata,F,NA,NA
Goodyera luzonensis,F,NA,NA
Goodyera macrophylla,F,NA,NA
Goodyera major,F,NA,NA
Goodyera maurevertii,F,NA,NA
Goodyera micrantha,F,NA,NA
Goodyera modesta,F,NA,NA
Goodyera myanmarica,F,NA,NA
Goodyera nankoensis,F,NA,NA
Goodyera novembrilis,F,NA,NA
Goodyera oblongifolia,F,H,NA
Goodyera ovatilabia,F,NA,NA
Goodyera pendula,E,NA,NA
Goodyera perrieri,E,NA,NA
Goodyera polyphylla,F,NA,NA
Goodyera porphyrophylla,F,NA,NA
Goodyera pubescens,F,H,NA
Goodyera purpusii,F,NA,NA
Goodyera pusilla,F,NA,NA
Goodyera ramosii,F,NA,NA
Goodyera recurva,E,NA,NA
Goodyera repens,F,H,NA
Goodyera reticulata,F,NA,NA
Goodyera rhombodoides,F,NA,NA
Goodyera rostellata,F,NA,NA
Goodyera rostrata,F,NA,NA
Goodyera rosulacea,F,NA,NA
Goodyera rubicunda,F,NA,NA
Goodyera ruttenii,F,NA,NA
Goodyera schlechtendaliana,F,NA,NA
Goodyera scripta,F,NA,NA
Goodyera sechellarum,F,NA,NA
Goodyera seikomontana,F,NA,NA
Goodyera stenopetala,F,NA,NA
Goodyera striata,F,NA,NA
Goodyera sumbawana,F,NA,NA
Goodyera taitensis,F,NA,NA
Goodyera tesselata,F,NA,NA
Goodyera thailandica,F,NA,NA
Goodyera turialbae,F,NA,NA
Goodyera velutina,F,NA,NA
Goodyera venusta,F,NA,NA
Goodyera viridiflora,F,NA,NA
Goodyera vitiensis,F,NA,NA
Goodyera vittata,F,NA,NA
Goodyera werneri,F,NA,NA
Goodyera wolongensis,F,NA,NA
Goodyera wuana,F,NA,NA
Goodyera yamiana,F,NA,NA
Goodyera yangmeishanensis,F,NA,NA
Goodyera yunnanensis,F,NA,NA
Goodyera zacuapanensis,F,NA,NA
Gordonia amboinensis,F,W,NA
Gordonia axillaris,F,W,NA
Gordonia excelsa,F,W,NA
Gordonia fruticosa,F,W,NA
Gordonia haematoxylon,F,NA,NA
Gordonia lasianthus,F,W,NA
Gordonia obtusa,F,NA,NA
Gordonia singaporeana,F,NA,NA
Gordonia tiantangensis,F,NA,NA
Gorgonidium beckianum,F,NA,NA
Gorgonidium bulbostylum,F,NA,NA
Gorgonidium cardenasianum,F,NA,NA
Gorgonidium intermedium,F,H,NA
Gorgonidium mirabile,F,NA,NA
Gorgonidium striatum,F,H,NA
Gorgonidium vargasii,F,NA,NA
Gorgonidium vermicidum,F,H,NA
Gorteria corymbosa,F,NA,NA
Gorteria diffusa,F,H,NA
Gorteria personata,F,NA,NA
Gosela eckloniana,F,NA,NA
Gossia acmenoides,F,W,NA
Gossia bidwillii,F,W,NA
Gossia fragrantissima,F,NA,NA
Gossia hillii,F,NA,NA
Gossia punctata,F,W,NA
Gossweilerodendron balsamiferum,F,W,No
Gossypioides brevilanatum,F,NA,NA
Gossypioides kirkii,C,W,NA
Gossypium anomalum,F,W,NA
Gossypium arboreum,F,W,NA
Gossypium australe,F,NA,NA
