Species,NFC,Legume,Order,Family,Data_fixing,Source,Source2,Data_corrected,Species_corrected,Analysed_Werner_etal.
Eriosema heterophyllum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Eriosema jurionianum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Eriosema kraussianum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Eriosema lebrunii,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Eriosema macrostipulum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Eriosema montanum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Eriosema nutans,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Eriosema pauciflorum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Eriosema polystachyum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Eriosema psoraloides,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Eriosema pumilum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Eriosema ramosum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Eriosema rhodesicum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Eriosema rhynchosioides,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Eriosema rufum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Eriosema salignum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Eriosema shirense,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Eriosema simplicifolium,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Eriosema squarrosum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Eriosema villosum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Eriosema violaceum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Erophaca boetica,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Erythrina americana,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Erythrina abyssinica,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Erythrina arborescens,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Erythrina barqueroana,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Erythrina berteroana,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Erythrina bogatensis,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Erythrina brucei,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Erythrina fusca,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Erythrina corallodendron,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Erythrina costaricensis,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Erythrina crista,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Erythrina edulis,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Erythrina excelsa,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Erythrina falcata,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Erythrina folkersii,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Erythrina herbacea,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Erythrina hondurensis,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Erythrina horrida,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Erythrina humeana,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Erythrina insignis,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Erythrina lanata,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Erythrina lanceolata,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Erythrina latissima,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Erythrina livingstoniana,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Erythrina lysistemon,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Erythrina mitis,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Butea monosperma,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Erythrina pallida,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Erythrina poeppigiana,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Erythrina speciosa,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Erythrina rubrinervia,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Erythrina sandwicensis,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Erythrina stricta,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Erythrina suberosa,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Erythrina subumbrans,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Erythrina variegata,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Erythrina velutina,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Erythrina verna,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Erythrina vespertilio,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Erythrina zeyheri,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Etaballia dubia,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Euchilopsis linearis,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Euchresta japonica,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Eutaxia densifolia,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Eutaxia epacridioides,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Eutaxia microphylla,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Eutaxia obovata,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Eutaxia virgata,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Flemingia macrophylla,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Flemingia fruticulosa,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Flemingia grahamiana,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Flemingia lineata,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Flemingia procumbens,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Flemingia semialata,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Flemingia strobilifera,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Galactia canescens,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Galactia crassifolia,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Galactia dubia,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Galactia jussiaeana,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Galactia neesii,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Galactia regularis,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Galactia rubra,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Galactia striata,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Galactia tenuiflora,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Galactia volubilis,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Galega albiflora,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Galega bicolor,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Galega officinalis,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Galega orientalis,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Galega patula,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Gastrolobium bilobum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Gastrolobium brownii,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Gastrolobium capitatum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Gastrolobium celsianum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Gastrolobium crassifolium,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Gastrolobium laytoni,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Gastrolobium obovatum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Gastrolobium nervosum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Gastrolobium parviflorum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Gastrolobium pulchellum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Gastrolobium spinosum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Gastrolobium trilobum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Gastrolobium velutinum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Gastrolobium villosum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Geissaspis cristata,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Genista anglica,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Genista canariensis,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Genista cinerea,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Genista ferox,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Genista florida,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Genista germanica,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Genista hillebrandtii,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Genista hispanica,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Genista linifolia,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Genista microcephala,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Genista numidica,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Genista pilosa,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Genista radiata,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Genista sagittalis,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,Species_name_corrected,Analysed
Genista sibirica,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Genista spachiana,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Genista supranubia,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Genista stenopetala,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Genista tinctoria,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Genista tricuspidata,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Gliricidia sepium,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Glycine canescens,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Glycine clandestina,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Glycine falcata,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Glycine max,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Glycine microphylla,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Ophrestia radicosa,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Glycine soja,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Glycine tabacina,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Glycine tomentella,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Glycyrrhiza acanthocarpa,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Glycyrrhiza echinata,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Glycyrrhiza glabra,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Glycyrrhiza inflata,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Glycyrrhiza korshinskyi,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Glycyrrhiza lepidota,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Glycyrrhiza pallidiflora,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Glycyrrhiza uralensis,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Gompholobium amplexicaule,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Gompholobium confertum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Gompholobium huegelii,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Gompholobium knightianum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Gompholobium marginatum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Gompholobium minus,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Gompholobium pinnatum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Gompholobium polymorphum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Gompholobium scabrum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Gompholobium tomentosum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Gompholobium venustum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Gompholobium virgatum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Goodia lotifolia,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Goodia pubescens,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Tibetia himalaica,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Gueldenstaedtia multiflora,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Gueldenstaedtia verna,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Halimodendron halodendron,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Hardenbergia comptoniana,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Hardenbergia monophylla,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Hardenbergia violacea,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Harpalyce cubensis,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Harpalyce macrocarpa,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Hebestigma cubense,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Hedysarum aculeolatum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Hedysarum alpinum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Hedysarum boreale,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Hedysarum carnosum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Hedysarum caucasicum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Hedysarum hedysaroides,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Hedysarum coronarium,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Hedysarum flexuosum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Hedysarum glomeratum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Onobrychis humilis,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Hedysarum iomuticum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Hedysarum mackenziei,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Hedysarum fruticosum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Hedysarum naudinianum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Hedysarum occidentale,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Hedysarum obscurum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Hedysarum pallidum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Hedysarum polybotrys,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Hedysarum spinosissimum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Hedysarum vicioides,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Hesperolaburnum platycarpum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Hippocrepis areolata,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Hippocrepis bicontorta,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Hippocrepis comosa,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Hippocrepis emerus,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Hippocrepis minor,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Hippocrepis multisiliquosa,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Hippocrepis unisiliquosa,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Hoita macrostachya,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Hoita orbicularis,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Acmispon americanus ,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,Species_name_corrected,Not_analysed
Acmispon subpinnatus,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,Species_name_corrected,Not_analysed
Hovea acutifolia,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Hovea chorizemaefolia,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Hovea elliptica,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Hovea linearis,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Hovea longifolia,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Hovea pungens,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Hovea trisperma,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Humularia welwitschii,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Hylodesmum glutinosum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Hylodesmum pauciflorum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Hylodesmum oldhamii,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Hylodesmum repandum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Hymenocarpos circinnatus,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Hymenocarpos lotoides,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Hymenolobium alagoanum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Hymenolobium flavum,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Hymenolobium janeirense,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Hypocalyptus coluteoides,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
Hypocalyptus oxalidifolius,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Not_analysed
Hypocalyptus sophoroides,Yes,Yes,Fabales,Fabaceae,Yes,Sprent2009,Appendices,No_correction,No_correction,Analysed
