sp,support,source
Hippuris vulgaris,A,United_States_National_Herbarium_Myanmar_Checklist_2003
Nomocharis aperta,C,United_States_National_Herbarium_Myanmar_Checklist_2003
Nomocharis georgei,C,United_States_National_Herbarium_Myanmar_Checklist_2003
Limnocharis flava,A,United_States_National_Herbarium_Myanmar_Checklist_2003
Acacia podalyriifolia,C,United_States_National_Herbarium_Myanmar_Checklist_2003
Ficus citrifolia,C,United_States_National_Herbarium_Myanmar_Checklist_2003
Ficus globosa,C,United_States_National_Herbarium_Myanmar_Checklist_2003
Ficus heterophylla,C,United_States_National_Herbarium_Myanmar_Checklist_2003
Erythropalum scandens,C,United_States_National_Herbarium_Myanmar_Checklist_2003
Olax acuminata,C,United_States_National_Herbarium_Myanmar_Checklist_2003
Olax imbricata,C,United_States_National_Herbarium_Myanmar_Checklist_2003
Jasminum arborescens,C,United_States_National_Herbarium_Myanmar_Checklist_2003
Jasminum humile,C,United_States_National_Herbarium_Myanmar_Checklist_2003
Cansjera parvifolia,C,United_States_National_Herbarium_Myanmar_Checklist_2003
Cansjera parvifolia,C,United_States_National_Herbarium_Myanmar_Checklist_2003
Cansjera rheedei,C,United_States_National_Herbarium_Myanmar_Checklist_2003
Philydrum lanuginosum,A,United_States_National_Herbarium_Myanmar_Checklist_2003
Piper umbellatum,C,United_States_National_Herbarium_Myanmar_Checklist_2003
Antigonon leptopus,A,United_States_National_Herbarium_Myanmar_Checklist_2003
Monochoria hastata,A,United_States_National_Herbarium_Myanmar_Checklist_2003
Monochoria vaginalis,A,United_States_National_Herbarium_Myanmar_Checklist_2003
Monochoria vaginalis,A,United_States_National_Herbarium_Myanmar_Checklist_2003
Anemone vitifolia,C,United_States_National_Herbarium_Myanmar_Checklist_2003
Rosa webbiana,C,United_States_National_Herbarium_Myanmar_Checklist_2003
Sorbus poteriifolia,C,United_States_National_Herbarium_Myanmar_Checklist_2003
Sparganium erectum,A,United_States_National_Herbarium_Myanmar_Checklist_2003
Sparganium fallax,A,United_States_National_Herbarium_Myanmar_Checklist_2003
Sparganium racemosum,A,United_States_National_Herbarium_Myanmar_Checklist_2003
Sparganium subglobosum,A,United_States_National_Herbarium_Myanmar_Checklist_2003
Typha angustifolia,A,United_States_National_Herbarium_Myanmar_Checklist_2003
Typha domingensis,A,United_States_National_Herbarium_Myanmar_Checklist_2003
Typha elephantina,A,United_States_National_Herbarium_Myanmar_Checklist_2003
Typha orientalis,A,United_States_National_Herbarium_Myanmar_Checklist_2003
Vitex burmensis,C,United_States_National_Herbarium_Myanmar_Checklist_2003
Vitex glabrata,C,United_States_National_Herbarium_Myanmar_Checklist_2003
Vitex pinnata,C,United_States_National_Herbarium_Myanmar_Checklist_2003
Vitex pinnata,C,United_States_National_Herbarium_Myanmar_Checklist_2003
Alisma plantago-aquatica,A,United_States_National_Herbarium_Myanmar_Checklist_2003
Alisma plantago-aquatica,A,United_States_National_Herbarium_Myanmar_Checklist_2003
Limnophyton obtusifolium,A,United_States_National_Herbarium_Myanmar_Checklist_2003
Sagittaria guayanensis,A,United_States_National_Herbarium_Myanmar_Checklist_2003
Sagittaria sagittifolia,A,United_States_National_Herbarium_Myanmar_Checklist_2003
Abrus pulchellus,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Acacia concinna,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Albuca volubilis,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Allamanda cathartica,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Bacopa monnieri,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Baphia capparidifolia,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Beaumontia grandiflora,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Adenochlaena leucocephala,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Cnestis polyphylla,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Cnestis polyphylla,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Cnestis polyphylla,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Decaryochloa diadelpha,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Ficus lutea,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Gouania lineata,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Caesalpinia bonduc,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Hickelia madagascariensis,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Hickelia perrieri,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Indigofera trita,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Kalanchoe beauverdii,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Kalanchoe poincarei,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Kalanchoe schizophylla,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Kalanchoe uniflora,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Leucosalpa grandiflora,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Leucosalpa madagascariensis,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Leucosalpa poissonii,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Oleandra distenta,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Opilia amentacea,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Pentarhopalopilia madagascariensis,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Phytolacca dodecandra,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Pisonia aculeata,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Radamaea montana,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Rourea minor,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Rubus parviflorus,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Scutia myrtina,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Strychnos floribunda,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Strychnos usambarensis,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Urera trinervis,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Vigna radiata,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Xerosicyos danguyi,C,Catalogue_of_the_Vascular_Plants_of_Madagascar
Polystachya concreta,E,eMonocot
Pitcairnia spectabilis,E,eMonocot
Pitcairnia rubiginosa,E,eMonocot
Pitcairnia hirtzii,E,eMonocot
Pitcairnia bakeri,E,eMonocot
Pitcairnia brunnescens,E,eMonocot
Pitcairnia sodiroi,E,eMonocot
Sagittaria lancifolia,E,eMonocot
Cyrtochilum flexuosum,E,eMonocot
Polystachya concreta,E,eMonocot
Philodendron fragrantissimum,E,eMonocot
Pitcairnia macranthera,E,eMonocot
Sagittaria lancifolia,E,eMonocot
Polystachya concreta,E,eMonocot
Sagittaria lancifolia,E,eMonocot
Juncus guadeloupensis,E,eMonocot
Polystachya concreta,E,eMonocot
Philodendron fragrantissimum,E,eMonocot
Polystachya rhodochila,E,eMonocot
Polystachya concreta,E,eMonocot
Polystachya concreta,E,eMonocot
Greigia rohwederi,E,eMonocot
Sagittaria lancifolia,E,eMonocot
Acrorchis roseola,E,eMonocot
Polystachya concreta,E,eMonocot
Philodendron fragrantissimum,E,eMonocot
Disteganthus calatheoides,E,eMonocot
Pitcairnia rubiginosa,E,eMonocot
Pitcairnia semijuncta,E,eMonocot
Sagittaria lancifolia,E,eMonocot
Polystachya concreta,E,eMonocot
Philodendron fragrantissimum,E,eMonocot
Polystachya concreta,E,eMonocot
Polystachya concreta,E,eMonocot
Aegiphila panamensis,C,Catalogue_of_the_Vascular_Plants_of_the_Department_of_Antioquia_(Colombia)
Ageratina pichinchensis,C,Catalogue_of_the_Vascular_Plants_of_the_Department_of_Antioquia_(Colombia)
Allamanda cathartica,C,Catalogue_of_the_Vascular_Plants_of_the_Department_of_Antioquia_(Colombia)
Alloplectus weirii,C,Catalogue_of_the_Vascular_Plants_of_the_Department_of_Antioquia_(Colombia)
Blakea rosea,C,Catalogue_of_the_Vascular_Plants_of_the_Department_of_Antioquia_(Colombia)
Cavendishia complectens,C,Catalogue_of_the_Vascular_Plants_of_the_Department_of_Antioquia_(Colombia)
Clusia amazonica,C,Catalogue_of_the_Vascular_Plants_of_the_Department_of_Antioquia_(Colombia)
Clusia decussata,C,Catalogue_of_the_Vascular_Plants_of_the_Department_of_Antioquia_(Colombia)
Clusia hammeliana,C,Catalogue_of_the_Vascular_Plants_of_the_Department_of_Antioquia_(Colombia)
Clusia loranthacea,C,Catalogue_of_the_Vascular_Plants_of_the_Department_of_Antioquia_(Colombia)
Clusia martiana,C,Catalogue_of_the_Vascular_Plants_of_the_Department_of_Antioquia_(Colombia)
Clusia minor,C,Catalogue_of_the_Vascular_Plants_of_the_Department_of_Antioquia_(Colombia)
Clusia multiflora,C,Catalogue_of_the_Vascular_Plants_of_the_Department_of_Antioquia_(Colombia)
Clusia octandra,C,Catalogue_of_the_Vascular_Plants_of_the_Department_of_Antioquia_(Colombia)
Clusiella axillaris,C,Catalogue_of_the_Vascular_Plants_of_the_Department_of_Antioquia_(Colombia)
Clusiella pendula,C,Catalogue_of_the_Vascular_Plants_of_the_Department_of_Antioquia_(Colombia)
Columnea sanguinolenta,C,Catalogue_of_the_Vascular_Plants_of_the_Department_of_Antioquia_(Colombia)
Costus lima,C,Catalogue_of_the_Vascular_Plants_of_the_Department_of_Antioquia_(Colombia)
Coussapoa cinnamomifolia,C,Catalogue_of_the_Vascular_Plants_of_the_Department_of_Antioquia_(Colombia)
Desmodium adscendens,C,Catalogue_of_the_Vascular_Plants_of_the_Department_of_Antioquia_(Colombia)
Ficus americana,C,Catalogue_of_the_Vascular_Plants_of_the_Department_of_Antioquia_(Colombia)
Ficus donnell-smithii,C,Catalogue_of_the_Vascular_Plants_of_the_Department_of_Antioquia_(Colombia)
Ficus paraensis,C,Catalogue_of_the_Vascular_Plants_of_the_Department_of_Antioquia_(Colombia)
Ficus pertusa,C,Catalogue_of_the_Vascular_Plants_of_the_Department_of_Antioquia_(Colombia)
Ficus schippii,C,Catalogue_of_the_Vascular_Plants_of_the_Department_of_Antioquia_(Colombia)
Heisteria scandens,C,Catalogue_of_the_Vascular_Plants_of_the_Department_of_Antioquia_(Colombia)
Inga acrocephala,C,Catalogue_of_the_Vascular_Plants_of_the_Department_of_Antioquia_(Colombia)
Juanulloa mexicana,C,Catalogue_of_the_Vascular_Plants_of_the_Department_of_Antioquia_(Colombia)
Markea ulei,C,Catalogue_of_the_Vascular_Plants_of_the_Department_of_Antioquia_(Colombia)
Piptocarpha gutierrezii,C,Catalogue_of_the_Vascular_Plants_of_the_Department_of_Antioquia_(Colombia)
Schultesianthus coriaceus,C,Catalogue_of_the_Vascular_Plants_of_the_Department_of_Antioquia_(Colombia)
Senna obtusifolia,C,Catalogue_of_the_Vascular_Plants_of_the_Department_of_Antioquia_(Colombia)
Topobea watsonii,C,Catalogue_of_the_Vascular_Plants_of_the_Department_of_Antioquia_(Colombia)
Cuphea polymorpha,C,Paraguay_Checklist
Mutisia coccinea,C,Paraguay_Checklist
Anaxagorea phaeocarpa,C,Peru_Checklist
Anoda cristata,C,Peru_Checklist
Baccharis brachylaenoides,C,Peru_Checklist
Bauhinia herrerae,C,Peru_Checklist
Begonia cyathophora,C,Peru_Checklist
Blakea mexiae,C,Peru_Checklist
Blakea rosea,C,Peru_Checklist
Bomarea glaucescens,C,Peru_Checklist
Burmeistera microphylla,C,Peru_Checklist
Capsicum coccineum,C,Peru_Checklist
Celtis iguanaea,C,Peru_Checklist
Celtis iguanaea,C,Peru_Checklist
Celtis iguanaea,C,Peru_Checklist
Cestrum reflexum,C,Peru_Checklist
Clusia amazonica,C,Peru_Checklist
Clusia columnaris,C,Peru_Checklist
Commelina rufipes,C,Peru_Checklist
Desmodium campyloclados,C,Peru_Checklist
Desmodium molliculum,C,Peru_Checklist
Dicranopygium lugonis,C,Peru_Checklist
Emmeorhiza umbellata,C,Peru_Checklist
Guettarda aromatica,C,Peru_Checklist
Hamelia patens,C,Peru_Checklist
Hawkesiophyton ulei,C,Peru_Checklist
Heisteria insculpta,C,Peru_Checklist
Heisteria scandens,C,Peru_Checklist
Heteropsis linearis,C,Peru_Checklist
Heteropsis oblongifolia,C,Peru_Checklist
Heteropsis spruceana,C,Peru_Checklist
Hillia wurdackii,C,Peru_Checklist
Juanulloa ochracea,C,Peru_Checklist
Juanulloa parasitica,C,Peru_Checklist
Markea longiflora,C,Peru_Checklist
Miconia eriocalyx,C,Peru_Checklist
Miconia serrulata,C,Peru_Checklist
Miconia spennerostachya,C,Peru_Checklist
Miconia stelligera,C,Peru_Checklist
Miconia woytkowskii,C,Peru_Checklist
Mikania ecuadorensis,C,Peru_Checklist
Mikania psilostachya,C,Peru_Checklist
Mikania szyszylowiczii,C,Peru_Checklist
Mimosa pudica,C,Peru_Checklist
Monstera lechleriana,C,Peru_Checklist
Monstera obliqua,C,Peru_Checklist
Monstera spruceana,C,Peru_Checklist
Monstera subpinnata,C,Peru_Checklist
Oreopanax capitatus,C,Peru_Checklist
Pavonia paniculata,C,Peru_Checklist
Philodendron acreanum,C,Peru_Checklist
Philodendron deltoideum,C,Peru_Checklist
Piper hispidum,C,Peru_Checklist
Piptocarpha poeppigiana,C,Peru_Checklist
Schultesianthus dudleyi,C,Peru_Checklist
Scleria stipitata,C,Peru_Checklist
Senna pendula,C,Peru_Checklist
Senna pendula,C,Peru_Checklist
Senna pendula,C,Peru_Checklist
Siphocampylus sanguineus,C,Peru_Checklist
Solanum ternatum,C,Peru_Checklist
Solanum lanceifolium,C,Peru_Checklist
Solanum ternatum,C,Peru_Checklist
Stenospermation spruceanum,C,Peru_Checklist
Struthanthus flexilis,C,Peru_Checklist
Struthanthus leptostachyus,C,Peru_Checklist
Syngonium podophyllum,C,Peru_Checklist
Trianaea speciosa,C,Peru_Checklist
Critoniopsis woytkowskii,C,Peru_Checklist
Vigna radiata,C,Peru_Checklist
Warszewiczia coccinea,C,Peru_Checklist
Warszewiczia cordata,C,Peru_Checklist
Tilesia baccata,C,Peru_Checklist
Aegiphila mollis,C,Catalogue_of_the_Vascular_Plants_of_Ecuador
Baccharis auriculigera,C,Catalogue_of_the_Vascular_Plants_of_Ecuador
Calystegia soldanella,C,Catalogue_of_the_Vascular_Plants_of_Ecuador
Cupania glabra,C,Catalogue_of_the_Vascular_Plants_of_Ecuador
Desmodium campyloclados,C,Catalogue_of_the_Vascular_Plants_of_Ecuador
Desmodium vargasianum,C,Catalogue_of_the_Vascular_Plants_of_Ecuador
Floscopa elegans,C,Catalogue_of_the_Vascular_Plants_of_Ecuador
Floscopa peruviana,C,Catalogue_of_the_Vascular_Plants_of_Ecuador
Juanulloa pavonii,C,Catalogue_of_the_Vascular_Plants_of_Ecuador
Liparis hirtzii,C,Catalogue_of_the_Vascular_Plants_of_Ecuador
Paradrymonia ciliosa,C,Catalogue_of_the_Vascular_Plants_of_Ecuador
Paradrymonia decurrens,C,Catalogue_of_the_Vascular_Plants_of_Ecuador
Solanum apaporanum,C,Catalogue_of_the_Vascular_Plants_of_Ecuador
Tovomita longifolia,C,Catalogue_of_the_Vascular_Plants_of_Ecuador
Acer circinatum,C,Flora_Palaestina
Fouquieria splendens,C,Flora_Palaestina
Panicum obtusum,C,Flora_Palaestina
Rhus glabra,C,Flora_Palaestina
Fouquieria splendens,C,Flora_of_Pakistan
Lathyrus cicera,C,Flora_of_Pakistan
Lathyrus hirsutus,C,Flora_of_Pakistan
Lathyrus sativus,C,Flora_of_Pakistan
Panicum obtusum,C,Flora_of_Pakistan
Rhus glabra,C,Flora_of_Pakistan
Solanum jasminoides,C,Flora_of_Pakistan
Acacia concinna,C,eFlora_China
Alyxia reinwardtii,C,eFlora_China
Alyxia reinwardtii,C,eFlora_China
Ampelocalamus breviligulatus,C,eFlora_China
Arabidopsis thaliana,C,eFlora_China
Arthropteris palisotii,C,eFlora_China
Asparagus densiflorus,C,eFlora_China
Bromus pumpellianus,C,eFlora_China
Calamus dianbaiensis,C,eFlora_China
Calamus erectus,C,eFlora_China
Calamus oxycarpus,C,eFlora_China
Calamus oxycarpus,C,eFlora_China
Calamus thysanolepis,C,eFlora_China
Cansjera rheedei,C,eFlora_China
Cansjera rheedei,C,eFlora_China
Carex duvaliana,C,eFlora_China
Carex pisiformis,C,eFlora_China
Carissa spinarum,C,eFlora_China
Catunaregam spinosa,C,eFlora_China
Centipeda minima,C,eFlora_China
Cissus javana,C,eFlora_China
Dendrotrophe buxifolia,C,eFlora_China
Dendrotrophe granulata,C,eFlora_China
Dendrotrophe platyphylla,C,eFlora_China
Dendrotrophe polyneura,C,eFlora_China
Dendrotrophe umbellata,C,eFlora_China
Dendrotrophe varians,C,eFlora_China
Dendrotrophe varians,C,eFlora_China
Drosera peltata,C,eFlora_China
Duranta erecta,C,eFlora_China
Ensete wilsonii,C,eFlora_China
Epipremnum pinnatum,C,eFlora_China
Erythropalum scandens,C,eFlora_China
Erythrorchis altissima,C,eFlora_China
Euonymus japonicus,C,eFlora_China
Ficus annulata,C,eFlora_China
Flemingia strobilifera,C,eFlora_China
Galeola nudifolia,C,eFlora_China
Galium asperifolium,C,eFlora_China
Galium spurium,C,eFlora_China
Gnetum gnemon,C,eFlora_China
Gouania javanica,C,eFlora_China
Gouania leptostachya,C,eFlora_China
Gynura procumbens,C,eFlora_China
Micropera poilanei,C,eFlora_China
Olax austrosinensis,C,eFlora_China
Opilia amentacea,C,eFlora_China
Panicum sarmentosum,C,eFlora_China
Parthenocissus tricuspidata,C,eFlora_China
Pedicularis vagans,C,eFlora_China
Premna fulva,C,eFlora_China
Premna serratifolia,C,eFlora_China
Rosa longicuspis,C,eFlora_China
Schefflera arboricola,C,eFlora_China
Stenochlaena palustris,C,eFlora_China
Stylosanthes guianensis,C,eFlora_China
Viburnum foetidum,C,eFlora_China
Zanthoxylum armatum,C,eFlora_China
Iresine diffusa,C,Vines_and_Climbing_Plants_of_Puerto_Rico_and_the_Virgin_Islands
Sphagneticola trilobata,C,Vines_and_Climbing_Plants_of_Puerto_Rico_and_the_Virgin_Islands
Desmodium incanum,C,Vines_and_Climbing_Plants_of_Puerto_Rico_and_the_Virgin_Islands
Ficus citrifolia,C,Vines_and_Climbing_Plants_of_Puerto_Rico_and_the_Virgin_Islands
Connellia caricifolia,E,eMonocot
Disteganthus basilateralis,E,eMonocot
Disteganthus calatheoides,E,eMonocot
Disteganthus lateralis,E,eMonocot
Pitcairnia rubiginosa,E,eMonocot
Pitcairnia semijuncta,E,eMonocot
Sagittaria lancifolia,E,eMonocot
Polystachya concreta,E,eMonocot
Philodendron fragrantissimum,E,eMonocot
Polystachya rhodochila,E,eMonocot
Polystachya concreta,E,eMonocot
Geissorhiza imbricata,E,POSA
Polypodium vulgare,E,POSA
Ananas lucidus,E,Peru_Checklist
Anthurium apaporanum,E,Peru_Checklist
Anthurium soukupii,E,Peru_Checklist
Anthurium tarapotense,E,Peru_Checklist
Arenaria alpamarcae,E,Peru_Checklist
Clidemia epibaterium,E,Peru_Checklist
Clidemia epiphytica,E,Peru_Checklist
Dalechampia cissifolia,E,Peru_Checklist
Episcia reptans,E,Peru_Checklist
Gloxinia perennis,E,Peru_Checklist
Heteropsis linearis,E,Peru_Checklist
Heteropsis oblongifolia,E,Peru_Checklist
Heteropsis spruceana,E,Peru_Checklist
Juanulloa ochracea,E,Peru_Checklist
Juanulloa parasitica,E,Peru_Checklist
Markea longiflora,E,Peru_Checklist
Markea coccinea,E,Peru_Checklist
Monstera dubia,E,Peru_Checklist
Monstera lechleriana,E,Peru_Checklist
Monstera obliqua,E,Peru_Checklist
Monstera spruceana,E,Peru_Checklist
Monstera subpinnata,E,Peru_Checklist
Pamianthe peruviana,E,Peru_Checklist
Peperomia lancifolia,E,Peru_Checklist
Peperomia rhombea,E,Peru_Checklist
Philodendron acreanum,E,Peru_Checklist
Philodendron acutifolium,E,Peru_Checklist
Philodendron alatum,E,Peru_Checklist
Philodendron angustialatum,E,Peru_Checklist
Philodendron chinchamayense,E,Peru_Checklist
Philodendron deltoideum,E,Peru_Checklist
Philodendron distantilobum,E,Peru_Checklist
Philodendron ernestii,E,Peru_Checklist
Philodendron exile,E,Peru_Checklist
Philodendron heterophyllum,E,Peru_Checklist
Philodendron hylaeae,E,Peru_Checklist
Philodendron ornatum,E,Peru_Checklist
Philodendron paxianum,E,Peru_Checklist
Philodendron pteropus,E,Peru_Checklist
Philodendron ruizii,E,Peru_Checklist
Philodendron uleanum,E,Peru_Checklist
Philodendron verrucosum,E,Peru_Checklist
Philodendron wurdackii,E,Peru_Checklist
Pitcairnia heterophylla,E,Peru_Checklist
Pitcairnia stolonifera,E,Peru_Checklist
Puya gerd-muelleri,E,Peru_Checklist
Schultesianthus dudleyi,E,Peru_Checklist
Stenospermation amomifolium,E,Peru_Checklist
Stenospermation gracile,E,Peru_Checklist
Stenospermation spruceanum,E,Peru_Checklist
Syngonium podophyllum,E,Peru_Checklist
Bolbitis lindigii,E,Catalogue_of_the_Vascular_Plants_of_Ecuador
Clusia decussata,E,Catalogue_of_the_Vascular_Plants_of_Ecuador
Clusia fructiangusta,E,Catalogue_of_the_Vascular_Plants_of_Ecuador
Clusia martiana,E,Catalogue_of_the_Vascular_Plants_of_Ecuador
Clusia sellowiana,E,Catalogue_of_the_Vascular_Plants_of_Ecuador
Lindsaea lancea,E,Catalogue_of_the_Vascular_Plants_of_Ecuador
Philodendron acutifolium,E,Catalogue_of_the_Vascular_Plants_of_Ecuador
Philodendron herthae,E,Catalogue_of_the_Vascular_Plants_of_Ecuador
Philodendron heterophyllum,E,Catalogue_of_the_Vascular_Plants_of_Ecuador
Philodendron riparium,E,Catalogue_of_the_Vascular_Plants_of_Ecuador
Philodendron rodrigueziae,E,Catalogue_of_the_Vascular_Plants_of_Ecuador
Philodendron rugosum,E,Catalogue_of_the_Vascular_Plants_of_Ecuador
Philodendron ruizii,E,Catalogue_of_the_Vascular_Plants_of_Ecuador
Philodendron senatocarpium,E,Catalogue_of_the_Vascular_Plants_of_Ecuador
Philodendron serpens,E,Catalogue_of_the_Vascular_Plants_of_Ecuador
Philodendron tenue,E,Catalogue_of_the_Vascular_Plants_of_Ecuador
Schefflera blepharidophylla,E,Catalogue_of_the_Vascular_Plants_of_Ecuador
Stenospermation andreanum,E,Catalogue_of_the_Vascular_Plants_of_Ecuador
Stenospermation angosturense,E,Catalogue_of_the_Vascular_Plants_of_Ecuador
Stenospermation arborescens,E,Catalogue_of_the_Vascular_Plants_of_Ecuador
Stenospermation brachypodum,E,Catalogue_of_the_Vascular_Plants_of_Ecuador
Stenospermation subellipticum,E,Catalogue_of_the_Vascular_Plants_of_Ecuador
Dennstaedtia werckleana,H,Catalogue_of_the_Vascular_Plants_of_Ecuador
Ficus schippii,H,Catalogue_of_the_Vascular_Plants_of_Ecuador
Heteropsis ecuadorensis,H,Catalogue_of_the_Vascular_Plants_of_Ecuador
Heteropsis flexuosa,H,Catalogue_of_the_Vascular_Plants_of_Ecuador
Heteropsis spruceana,H,Catalogue_of_the_Vascular_Plants_of_Ecuador
Lomariopsis latipinna,H,Catalogue_of_the_Vascular_Plants_of_Ecuador
Lomariopsis nigropaleata,H,Catalogue_of_the_Vascular_Plants_of_Ecuador
Lomariopsis prieuriana,H,Catalogue_of_the_Vascular_Plants_of_Ecuador
Marcgraviastrum gigantophyllum,H,Catalogue_of_the_Vascular_Plants_of_Ecuador
Rhodospatha densinervia,H,Catalogue_of_the_Vascular_Plants_of_Ecuador
Rhodospatha densinervia,H,Catalogue_of_the_Vascular_Plants_of_Ecuador
Rhodospatha dissidens,H,Catalogue_of_the_Vascular_Plants_of_Ecuador
Rhodospatha kraenzlinii,H,Catalogue_of_the_Vascular_Plants_of_Ecuador
Rhodospatha latifolia,H,Catalogue_of_the_Vascular_Plants_of_Ecuador
Rhodospatha robusta,H,Catalogue_of_the_Vascular_Plants_of_Ecuador
Rhodospatha statutii,H,Catalogue_of_the_Vascular_Plants_of_Ecuador
Rhodospatha venosa,H,Catalogue_of_the_Vascular_Plants_of_Ecuador
Schefflera epiphytica,H,Catalogue_of_the_Vascular_Plants_of_Ecuador
Souroubea bicolor,H,Catalogue_of_the_Vascular_Plants_of_Ecuador
Souroubea corallina,H,Catalogue_of_the_Vascular_Plants_of_Ecuador
Souroubea guianensis,H,Catalogue_of_the_Vascular_Plants_of_Ecuador
Souroubea sympetala,H,Catalogue_of_the_Vascular_Plants_of_Ecuador
Souroubea vallicola,H,Catalogue_of_the_Vascular_Plants_of_Ecuador
Stenospermation hilligii,H,Catalogue_of_the_Vascular_Plants_of_Ecuador
Stenospermation interruptum,H,Catalogue_of_the_Vascular_Plants_of_Ecuador
Stenospermation popayanense,H,Catalogue_of_the_Vascular_Plants_of_Ecuador
Chromolaena odorata,C,Florest_Climbing_Plants_of_West_Africa
Desmodium adscendens,C,Florest_Climbing_Plants_of_West_Africa
Trachyphrynium braunianum,C,Florest_Climbing_Plants_of_West_Africa
Opilia amentacea,C,Florest_Climbing_Plants_of_West_Africa
Opilia amentacea,C,Florest_Climbing_Plants_of_West_Africa
Anacolosa uncifera,C,Gentry
Millettia laurentii,C,Gentry
Malvaviscus arboreus,C,Gentry
Heisteria scandens,C,Gentry
Talisia nervosa,C,Gentry
Heisteria scandens,C,Gentry
Mabea speciosa,C,Gentry
Casearia aculeata,C,Gentry
Bauhinia brachycalyx,C,Gentry
Heisteria scandens,C,Gentry
Ficus citrifolia,C,Gentry
Ficus paraensis,C,Gentry
Coccoloba coronata,C,Gentry
Ficus trigonata,C,Gentry
Cavendishia tarapotana,C,Gentry
Ficus pertusa,C,Gentry
Ficus schippii,C,Gentry
Iryanthera olacoides,C,Gentry
Heisteria scandens,C,Gentry
Cavanillesia platanifolia,C,Gentry
Iresine diffusa,C,Gentry
Ficus cuatrecasasiana,C,Gentry
Anadenanthera colubrina,C,Gentry
Discophora guianensis,C,Gentry
Heisteria scandens,C,Gentry
Hevea guianensis,C,Gentry
Ficus pertusa,C,Gentry
Pouteria cuspidata,C,Gentry
Jacaranda obtusifolia,C,Gentry
Ficus pertusa,C,Gentry
Guadua weberbaueri,C,Gentry
Heisteria scandens,C,Gentry
Ficus citrifolia,C,Gentry
Connarus pickeringii,C,Gentry
Acrocarpus fraxinifolius,C,Gentry
Habenaria dentifera,F,eMonocot
Habenaria leonensis,F,eMonocot
Odontorrhynchus alticola,F,eMonocot
Odontochilus saprophyticus,F,eMonocot
Odontochilus guangdongensis,F,eMonocot
Physoceras bellum,F,eMonocot
Odontochilus poilanei,F,eMonocot
Cranichis longipetiolata,F,eMonocot
Aphyllorchis torricellensis,F,eMonocot
Gastrorchis tuberculosa,F,eMonocot
Bletia stenophylla,F,eMonocot
Oncidium obryzatum,F,eMonocot
Cyclopogon olivaceus,F,eMonocot
Bletia campanulata,F,eMonocot
Cyclopogon cranichoides,F,eMonocot
Coccineorchis cernua,F,eMonocot
Chamaegastrodia vaginata,F,eMonocot
Cyclopogon lindleyanus,F,eMonocot
Liparis ochracea,F,eMonocot
Cyrtochilum flexuosum,F,eMonocot
Malaxis fastigiata,F,eMonocot
Liparis salassia,F,eMonocot
Galeandra styllomisantha,F,eMonocot
Cynorkis fastigiata,F,eMonocot
Cynorkis purpurascens,F,eMonocot
Acrorchis roseola,F,eMonocot
Sauroglossum andinum,F,eMonocot
Polystachya rosea,F,eMonocot
Polystachya rhodochila,F,eMonocot
Cyclopogon rimbachii,F,eMonocot
Cyclopogon plantagineus,F,eMonocot
Cyclopogon peruvianus,F,eMonocot
Eulophia ramosa,F,eMonocot
Eulophia macra,F,eMonocot
Habenaria floribunda,F,eMonocot
Habenaria guentheriana,F,eMonocot
